Instrument,date,date_str,source_file,underlying,expiry,strike,option_type,expiry_date,days_till_maturity,underlying_price,Last,Bid,Ask,Mark,Last_USD,Bid_USD,Ask_USD,Mark_USD
BTC-15MAY26-81000-C,2026-05-01,2026-05-01,BTC-15MAY26-export.csv,BTC,15MAY26,81000,C,2026-05-15,14,78372,0.012,0.0125,0.013,0.0127,940.464,979.6500000000001,1018.8359999999999,995.3244
BTC-15MAY26-82000-C,2026-05-01,2026-05-01,BTC-15MAY26-export.csv,BTC,15MAY26,82000,C,2026-05-15,14,78372,0.01,0.009,0.0095,0.0093,783.72,705.348,744.534,728.8595999999999
BTC-15MAY26-86000-C,2026-05-01,2026-05-01,BTC-15MAY26-export.csv,BTC,15MAY26,86000,C,2026-05-15,14,78372,0.0024,0.0022,0.0026,0.0024,188.09279999999998,172.41840000000002,203.7672,188.09279999999998
BTC-15MAY26-90000-C,2026-05-01,2026-05-01,BTC-15MAY26-export.csv,BTC,15MAY26,90000,C,2026-05-15,14,78372,0.0007,0.0006,0.0009,0.0007,54.8604,47.023199999999996,70.5348,54.8604
BTC-22MAY26-81000-C,2026-05-01,2026-05-01,BTC-22MAY26-export.csv,BTC,22MAY26,81000,C,2026-05-22,21,78372,0.018,0.019,0.02,0.0195,1410.696,1489.068,1567.44,1528.254
BTC-22MAY26-82000-C,2026-05-01,2026-05-01,BTC-22MAY26-export.csv,BTC,22MAY26,82000,C,2026-05-22,21,78372,0.0145,0.015,0.016,0.0155,1136.394,1175.58,1253.952,1214.766
BTC-22MAY26-84000-C,2026-05-01,2026-05-01,BTC-22MAY26-export.csv,BTC,22MAY26,84000,C,2026-05-22,21,78372,0.01,0.009,0.0095,0.0092,783.72,705.348,744.534,721.0224
BTC-22MAY26-86000-C,2026-05-01,2026-05-01,BTC-22MAY26-export.csv,BTC,22MAY26,86000,C,2026-05-22,21,78372,0.0055,0.005,0.006,0.0055,431.046,391.86,470.232,431.046
BTC-22MAY26-90000-C,2026-05-01,2026-05-01,BTC-22MAY26-export.csv,BTC,22MAY26,90000,C,2026-05-22,21,78372,0.0017,0.0017,0.0019,0.0018,133.23239999999998,133.23239999999998,148.9068,141.0696
BTC-22MAY26-95000-C,2026-05-01,2026-05-01,BTC-22MAY26-export.csv,BTC,22MAY26,95000,C,2026-05-22,21,78372,0.0006,0.0005,0.0008,0.0006,47.023199999999996,39.186,62.6976,47.023199999999996
BTC-25DEC26-82000-C,2026-05-01,2026-05-01,BTC-25DEC26-export.csv,BTC,25DEC26,82000,C,2026-12-25,238,78372,0.132,0.126,0.128,0.1269,10345.104000000001,9874.872,10031.616,9945.4068
