Instrument,date,date_str,source_file,underlying,expiry,strike,option_type,expiry_date,days_till_maturity,underlying_price,Last,Bid,Ask,Mark,Last_USD,Bid_USD,Ask_USD,Mark_USD
BTC-15MAY26-81000-C,2026-05-04,2026-05-04,BTC-15MAY26-export.csv,BTC,15MAY26,81000,C,2026-05-15,11,80081,0.0205,0.0195,0.0205,0.0203,1641.6605,1561.5795,1641.6605,1625.6443
BTC-15MAY26-82000-C,2026-05-04,2026-05-04,BTC-15MAY26-export.csv,BTC,15MAY26,82000,C,2026-05-15,11,80081,0.016,0.0145,0.0155,0.0152,1281.296,1161.1745,1241.2555,1217.2312
BTC-15MAY26-84000-C,2026-05-04,2026-05-04,BTC-15MAY26-export.csv,BTC,15MAY26,84000,C,2026-05-15,11,80081,0.008,0.008,0.0085,0.0083,640.648,640.648,680.6885000000001,664.6723
BTC-15MAY26-86000-C,2026-05-04,2026-05-04,BTC-15MAY26-export.csv,BTC,15MAY26,86000,C,2026-05-15,11,80081,0.0043,0.0041,0.0044,0.0043,344.3483,328.3321,352.3564,344.3483
BTC-15MAY26-90000-C,2026-05-04,2026-05-04,BTC-15MAY26-export.csv,BTC,15MAY26,90000,C,2026-05-15,11,80081,0.001,0.0011,0.0014,0.0013,80.081,88.0891,112.1134,104.1053
BTC-22MAY26-81000-C,2026-05-04,2026-05-04,BTC-22MAY26-export.csv,BTC,22MAY26,81000,C,2026-05-22,18,80081,0.029,0.027,0.0275,0.0276,2322.349,2162.187,2202.2275,2210.2356
BTC-22MAY26-82000-C,2026-05-04,2026-05-04,BTC-22MAY26-export.csv,BTC,22MAY26,82000,C,2026-05-22,18,80081,0.0185,0.0215,0.0225,0.0222,1481.4985,1721.7414999999999,1801.8225,1777.7982000000002
BTC-22MAY26-85000-C,2026-05-04,2026-05-04,BTC-22MAY26-export.csv,BTC,22MAY26,85000,C,2026-05-22,18,80081,0.012,0.0105,0.0115,0.0111,960.972,840.8505,920.9315,888.8991000000001
BTC-22MAY26-86000-C,2026-05-04,2026-05-04,BTC-22MAY26-export.csv,BTC,22MAY26,86000,C,2026-05-22,18,80081,0.01,0.008,0.009,0.0087,800.8100000000001,640.648,720.7289999999999,696.7047
BTC-22MAY26-90000-C,2026-05-04,2026-05-04,BTC-22MAY26-export.csv,BTC,22MAY26,90000,C,2026-05-22,18,80081,0.0033,0.0033,0.0034,0.0033,264.2673,264.2673,272.2754,264.2673
BTC-22MAY26-95000-C,2026-05-04,2026-05-04,BTC-22MAY26-export.csv,BTC,22MAY26,95000,C,2026-05-22,18,80081,0.0008,0.0009,0.0011,0.001,64.0648,72.0729,88.0891,80.081
BTC-25DEC26-84000-C,2026-05-04,2026-05-04,BTC-25DEC26-export.csv,BTC,25DEC26,84000,C,2026-12-25,235,80081,0.129,0.1245,0.1265,0.1257,10330.449,9970.0845,10130.2465,10066.181700000001
