tau,s,h
0.04626968,0.00000000,0.00007714
0.04626968,0.01888558,0.00006677
0.04626968,0.03777117,0.00004746
0.04626968,0.05665675,0.00000000
0.04626968,0.07554233,0.00000000
0.04626968,0.09442792,0.00000000
0.04626968,0.11331350,0.00000000
0.04626968,0.13219909,0.00000000
0.04626968,0.15108466,0.00000000
0.04626968,0.16997025,0.00000000
0.04626968,0.18885584,0.00000000
0.04626968,0.20774141,0.00000000
0.04626968,0.22662700,0.00000000
0.04626968,0.24551258,0.00000000
0.04626968,0.26439818,0.00000000
0.04626968,0.28328375,0.00000000
0.04626968,0.30216933,0.00000000
0.04626968,0.32105493,0.00000000
0.04626968,0.33994050,0.00000000
0.04626968,0.35882608,0.00000000
0.04626968,0.37771168,0.00000000
0.04626968,0.39659725,0.00000000
0.04626968,0.41548283,0.00000000
0.04626968,0.43436843,0.00000000
0.04626968,0.45325400,0.00000000
0.04626968,0.47213958,0.00000000
0.04626968,0.49102515,0.00000000
0.04626968,0.50991073,0.00000000
0.04626968,0.52879636,0.00000000
0.04626968,0.54768193,0.00000000
0.04626968,0.56656750,0.00000000
0.04626968,0.58545308,0.00000000
0.04626968,0.60433865,0.00000000
0.04626968,0.62322423,0.00000000
0.04626968,0.64210986,0.00000000
0.04626968,0.66099543,0.00000000
0.04626968,0.67988101,0.00000000
0.04626968,0.69876658,0.00000000
0.04626968,0.71765215,0.00000000
0.04626968,0.73653773,0.00000000
0.04626968,0.75542336,0.00000000
0.04626968,0.77430893,0.00000000
0.04626968,0.79319451,0.00000000
0.04626968,0.81208008,0.00000000
0.04626968,0.83096565,0.00000000
0.04626968,0.84985123,0.00000000
0.04626968,0.86873686,0.00000000
0.04626968,0.88762243,0.00000000
0.04626968,0.90650801,0.00000000
0.04626968,0.92539358,0.00000000
0.06421098,0.00000000,0.00008398
0.06421098,0.01888558,0.00007671
0.06421098,0.03777117,0.00006611
0.06421098,0.05665675,0.00004582
0.06421098,0.07554233,0.00000000
0.06421098,0.09442792,0.00000000
0.06421098,0.11331350,0.00000000
0.06421098,0.13219909,0.00000000
0.06421098,0.15108466,0.00000000
0.06421098,0.16997025,0.00000000
0.06421098,0.18885584,0.00000000
0.06421098,0.20774141,0.00000000
0.06421098,0.22662700,0.00000000
0.06421098,0.24551258,0.00000000
0.06421098,0.26439818,0.00000000
0.06421098,0.28328375,0.00000000
0.06421098,0.30216933,0.00000000
0.06421098,0.32105493,0.00000000
0.06421098,0.33994050,0.00000000
0.06421098,0.35882608,0.00000000
0.06421098,0.37771168,0.00000000
0.06421098,0.39659725,0.00000000
0.06421098,0.41548283,0.00000000
0.06421098,0.43436843,0.00000000
0.06421098,0.45325400,0.00000000
0.06421098,0.47213958,0.00000000
0.06421098,0.49102515,0.00000000
0.06421098,0.50991073,0.00000000
0.06421098,0.52879636,0.00000000
0.06421098,0.54768193,0.00000000
0.06421098,0.56656750,0.00000000
0.06421098,0.58545308,0.00000000
0.06421098,0.60433865,0.00000000
0.06421098,0.62322423,0.00000000
0.06421098,0.64210986,0.00000000
0.06421098,0.66099543,0.00000000
0.06421098,0.67988101,0.00000000
0.06421098,0.69876658,0.00000000
0.06421098,0.71765215,0.00000000
0.06421098,0.73653773,0.00000000
0.06421098,0.75542336,0.00000000
0.06421098,0.77430893,0.00000000
0.06421098,0.79319451,0.00000000
0.06421098,0.81208008,0.00000000
0.06421098,0.83096565,0.00000000
0.06421098,0.84985123,0.00000000
0.06421098,0.86873686,0.00000000
0.06421098,0.88762243,0.00000000
0.06421098,0.90650801,0.00000000
0.06421098,0.92539358,0.00000000
0.08215229,0.00000000,0.00008920
0.08215229,0.01888558,0.00008367
0.08215229,0.03777117,0.00007628
0.08215229,0.05665675,0.00006543
0.08215229,0.07554233,0.00004403
0.08215229,0.09442792,0.00000000
0.08215229,0.11331350,0.00000000
0.08215229,0.13219909,0.00000000
0.08215229,0.15108466,0.00000000
0.08215229,0.16997025,0.00000000
0.08215229,0.18885584,0.00000000
0.08215229,0.20774141,0.00000000
0.08215229,0.22662700,0.00000000
0.08215229,0.24551258,0.00000000
0.08215229,0.26439818,0.00000000
0.08215229,0.28328375,0.00000000
0.08215229,0.30216933,0.00000000
0.08215229,0.32105493,0.00000000
0.08215229,0.33994050,0.00000000
0.08215229,0.35882608,0.00000000
0.08215229,0.37771168,0.00000000
0.08215229,0.39659725,0.00000000
0.08215229,0.41548283,0.00000000
0.08215229,0.43436843,0.00000000
0.08215229,0.45325400,0.00000000
0.08215229,0.47213958,0.00000000
0.08215229,0.49102515,0.00000000
0.08215229,0.50991073,0.00000000
0.08215229,0.52879636,0.00000000
0.08215229,0.54768193,0.00000000
0.08215229,0.56656750,0.00000000
0.08215229,0.58545308,0.00000000
0.08215229,0.60433865,0.00000000
0.08215229,0.62322423,0.00000000
0.08215229,0.64210986,0.00000000
0.08215229,0.66099543,0.00000000
0.08215229,0.67988101,0.00000000
0.08215229,0.69876658,0.00000000
0.08215229,0.71765215,0.00000000
0.08215229,0.73653773,0.00000000
0.08215229,0.75542336,0.00000000
0.08215229,0.77430893,0.00000000
0.08215229,0.79319451,0.00000000
0.08215229,0.81208008,0.00000000
0.08215229,0.83096565,0.00000000
0.08215229,0.84985123,0.00000000
0.08215229,0.86873686,0.00000000
0.08215229,0.88762243,0.00000000
0.08215229,0.90650801,0.00000000
0.08215229,0.92539358,0.00000000
0.10009359,0.00000000,0.00009334
0.10009359,0.01888558,0.00008896
0.10009359,0.03777117,0.00008335
0.10009359,0.05665675,0.00007584
0.10009359,0.07554233,0.00006474
0.10009359,0.09442792,0.00004204
0.10009359,0.11331350,0.00000000
0.10009359,0.13219909,0.00000000
0.10009359,0.15108466,0.00000000
0.10009359,0.16997025,0.00000000
0.10009359,0.18885584,0.00000000
0.10009359,0.20774141,0.00000000
0.10009359,0.22662700,0.00000000
0.10009359,0.24551258,0.00000000
0.10009359,0.26439818,0.00000000
0.10009359,0.28328375,0.00000000
0.10009359,0.30216933,0.00000000
0.10009359,0.32105493,0.00000000
0.10009359,0.33994050,0.00000000
0.10009359,0.35882608,0.00000000
0.10009359,0.37771168,0.00000000
0.10009359,0.39659725,0.00000000
0.10009359,0.41548283,0.00000000
