Instrument,date,date_str,source_file,underlying,expiry,strike,option_type,expiry_date,days_till_maturity,underlying_price,Last,Bid,Ask,Mark,Last_USD,Bid_USD,Ask_USD,Mark_USD
BTC-15MAY26-65000-C,2026-05-04,2026-05-04,BTC-15MAY26-export.csv,BTC,15MAY26,65000,C,2026-05-15,11,80081,,0.187,0.191,0.1888,,14975.147,15295.471,15119.2928
BTC-15MAY26-72000-C,2026-05-04,2026-05-04,BTC-15MAY26-export.csv,BTC,15MAY26,72000,C,2026-05-15,11,80081,,0.1015,0.105,0.1035,,8128.221500000001,8408.505,8288.3835
BTC-15MAY26-73000-C,2026-05-04,2026-05-04,BTC-15MAY26-export.csv,BTC,15MAY26,73000,C,2026-05-15,11,80081,,0.09,0.0935,0.092,,7207.29,7487.5735,7367.452
BTC-15MAY26-83000-C,2026-05-04,2026-05-04,BTC-15MAY26-export.csv,BTC,15MAY26,83000,C,2026-05-15,11,80081,,0.011,0.0115,0.0112,,880.891,920.9315,896.9072
BTC-22MAY26-65000-C,2026-05-04,2026-05-04,BTC-22MAY26-export.csv,BTC,22MAY26,65000,C,2026-05-22,18,80081,,0.1875,0.191,0.1897,,15015.1875,15295.471,15191.3657
BTC-22MAY26-68000-C,2026-05-04,2026-05-04,BTC-22MAY26-export.csv,BTC,22MAY26,68000,C,2026-05-22,18,80081,,0.151,0.1545,0.1534,,12092.231,12372.5145,12284.4254
BTC-22MAY26-70000-C,2026-05-04,2026-05-04,BTC-22MAY26-export.csv,BTC,22MAY26,70000,C,2026-05-22,18,80081,,0.1275,0.131,0.1298,,10210.3275,10490.611,10394.5138
BTC-22MAY26-72000-C,2026-05-04,2026-05-04,BTC-22MAY26-export.csv,BTC,22MAY26,72000,C,2026-05-22,18,80081,,0.1055,0.108,0.1069,,8448.5455,8648.748,8560.6589
BTC-22MAY26-73000-C,2026-05-04,2026-05-04,BTC-22MAY26-export.csv,BTC,22MAY26,73000,C,2026-05-22,18,80081,,0.0945,0.0975,0.0959,,7567.6545,7807.8975,7679.7679
BTC-22MAY26-74000-C,2026-05-04,2026-05-04,BTC-22MAY26-export.csv,BTC,22MAY26,74000,C,2026-05-22,18,80081,,0.083,0.0865,0.0853,,6646.723,6927.0064999999995,6830.9093
