Instrument,date,date_str,source_file,underlying,expiry,strike,option_type,expiry_date,days_till_maturity,underlying_price,Last,Bid,Ask,Mark,Last_USD,Bid_USD,Ask_USD,Mark_USD
BTC-15MAY26-70000-C,2026-05-02,2026-05-02,BTC-15MAY26-export.csv,BTC,15MAY26,70000,C,2026-05-15,13,78170,0.089,0.079,0.129,0.1073,6957.13,6175.43,10083.93,8387.641
BTC-15MAY26-74000-C,2026-05-02,2026-05-02,BTC-15MAY26-export.csv,BTC,15MAY26,74000,C,2026-05-15,13,78170,0.0545,0.037,0.0935,0.0623,4260.265,2892.29,7308.895,4869.991
BTC-15MAY26-75000-C,2026-05-02,2026-05-02,BTC-15MAY26-export.csv,BTC,15MAY26,75000,C,2026-05-15,13,78170,0.0535,0.0245,0.0705,0.0525,4182.095,1915.165,5510.985,4103.925
BTC-15MAY26-76000-C,2026-05-02,2026-05-02,BTC-15MAY26-export.csv,BTC,15MAY26,76000,C,2026-05-15,13,78170,0.0455,0.041,0.045,0.0434,3556.735,3204.9700000000003,3517.65,3392.578
BTC-15MAY26-77000-C,2026-05-02,2026-05-02,BTC-15MAY26-export.csv,BTC,15MAY26,77000,C,2026-05-15,13,78170,0.038,0.0345,0.0355,0.0351,2970.46,2696.8650000000002,2775.035,2743.767
BTC-15MAY26-78000-C,2026-05-02,2026-05-02,BTC-15MAY26-export.csv,BTC,15MAY26,78000,C,2026-05-15,13,78170,0.0325,0.0275,0.028,0.0277,2540.525,2149.675,2188.76,2165.3089999999997
BTC-22MAY26-77000-C,2026-05-02,2026-05-02,BTC-22MAY26-export.csv,BTC,22MAY26,77000,C,2026-05-22,20,78170,0.0435,0.042,0.043,0.0427,3400.395,3283.1400000000003,3361.31,3337.859
BTC-22MAY26-78000-C,2026-05-02,2026-05-02,BTC-22MAY26-export.csv,BTC,22MAY26,78000,C,2026-05-22,20,78170,0.0355,0.035,0.036,0.0355,2775.035,2735.9500000000003,2814.12,2775.035
BTC-25DEC26-30000-C,2026-05-02,2026-05-02,BTC-25DEC26-export.csv,BTC,25DEC26,30000,C,2026-12-25,237,78170,0.627,0.6265,0.629,0.6274,49012.59,48973.505,49168.93,49043.858
BTC-25DEC26-35000-C,2026-05-02,2026-05-02,BTC-25DEC26-export.csv,BTC,25DEC26,35000,C,2026-12-25,237,78170,0.507,0.5655,0.569,0.5671,39632.19,44205.135,44478.729999999996,44330.207
