Instrument,date,date_str,source_file,underlying,expiry,strike,option_type,expiry_date,days_till_maturity,underlying_price,Last,Bid,Ask,Mark,Last_USD,Bid_USD,Ask_USD,Mark_USD
BTC-1MAY26-82000-C,2026-04-22,2026-04-22,BTC-1MAY26-export.csv,BTC,1MAY26,82000,C,2026-05-01,9,78203,0.0105,0.0095,0.0105,0.0102,821.1315000000001,742.9285,821.1315000000001,797.6706
BTC-1MAY26-85000-C,2026-04-22,2026-04-22,BTC-1MAY26-export.csv,BTC,1MAY26,85000,C,2026-05-01,9,78203,0.0045,0.0034,0.0038,0.0037,351.9135,265.8902,297.1714,289.35110000000003
BTC-1MAY26-86000-C,2026-04-22,2026-04-22,BTC-1MAY26-export.csv,BTC,1MAY26,86000,C,2026-05-01,9,78203,0.0025,0.0023,0.0027,0.0026,195.5075,179.8669,211.1481,203.3278
BTC-24APR26-78500-C,2026-04-22,2026-04-22,BTC-24APR26-export.csv,BTC,24APR26,78500,C,2026-04-24,2,78203,0.013,0.012,0.013,0.0125,1016.639,938.436,1016.639,977.5375
BTC-24APR26-84000-C,2026-04-22,2026-04-22,BTC-24APR26-export.csv,BTC,24APR26,84000,C,2026-04-24,2,78203,0.0006,0.0004,0.0006,0.0005,46.9218,31.281200000000002,46.9218,39.1015
BTC-24APR26-98000-C,2026-04-22,2026-04-22,BTC-24APR26-export.csv,BTC,24APR26,98000,C,2026-04-24,2,78203,0.0005,,0.0001,,39.1015,,7.8203000000000005,
BTC-24APR26-120000-C,2026-04-22,2026-04-22,BTC-24APR26-export.csv,BTC,24APR26,120000,C,2026-04-24,2,78203,0.0001,,0.0001,,7.8203000000000005,,7.8203000000000005,
BTC-25APR26-79000-C,2026-04-22,2026-04-22,BTC-25APR26-export.csv,BTC,25APR26,79000,C,2026-04-25,3,78203,0.015,0.0115,0.0125,0.0123,1173.0449999999998,899.3344999999999,977.5375,961.8969
BTC-25APR26-81000-C,2026-04-22,2026-04-22,BTC-25APR26-export.csv,BTC,25APR26,81000,C,2026-04-25,3,78203,0.005,0.004,0.0043,0.0042,391.015,312.812,336.2729,328.45259999999996
BTC-25DEC26-85000-C,2026-04-22,2026-04-22,BTC-25DEC26-export.csv,BTC,25DEC26,85000,C,2026-12-25,247,78203,0.1225,0.121,0.1225,0.1216,9579.8675,9462.563,9579.8675,9509.4848
BTC-25DEC26-88000-C,2026-04-22,2026-04-22,BTC-25DEC26-export.csv,BTC,25DEC26,88000,C,2026-12-25,247,78203,0.107,0.107,0.1085,0.1076,8367.721,8367.721,8485.0255,8414.6428
BTC-25DEC26-90000-C,2026-04-22,2026-04-22,BTC-25DEC26-export.csv,BTC,25DEC26,90000,C,2026-12-25,247,78203,0.1,0.0985,0.1,0.0991,7820.3,7702.9955,7820.3,7749.917299999999
BTC-25DEC26-92000-C,2026-04-22,2026-04-22,BTC-25DEC26-export.csv,BTC,25DEC26,92000,C,2026-12-25,247,78203,0.092,0.0905,0.092,0.0911,7194.6759999999995,7077.3715,7194.6759999999995,7124.2933
BTC-25DEC26-95000-C,2026-04-22,2026-04-22,BTC-25DEC26-export.csv,BTC,25DEC26,95000,C,2026-12-25,247,78203,0.0793,0.08,0.081,0.0804,6201.497899999999,6256.24,6334.443,6287.5212
BTC-25DEC26-98000-C,2026-04-22,2026-04-22,BTC-25DEC26-export.csv,BTC,25DEC26,98000,C,2026-12-25,247,78203,0.0675,0.0705,0.0715,0.0707,5278.7025,5513.3115,5591.514499999999,5528.9520999999995
BTC-25DEC26-100000-C,2026-04-22,2026-04-22,BTC-25DEC26-export.csv,BTC,25DEC26,100000,C,2026-12-25,247,78203,0.065,0.0645,0.066,0.0649,5083.195000000001,5044.0935,5161.398,5075.3747
BTC-25DEC26-105000-C,2026-04-22,2026-04-22,BTC-25DEC26-export.csv,BTC,25DEC26,105000,C,2026-12-25,247,78203,0.0455,0.052,0.0535,0.0523,3558.2365,4066.556,4183.8605,4090.0169
BTC-25DEC26-200000-C,2026-04-22,2026-04-22,BTC-25DEC26-export.csv,BTC,25DEC26,200000,C,2026-12-25,247,78203,0.0025,0.0024,0.0028,0.0026,195.5075,187.6872,218.9684,203.3278
BTC-25DEC26-220000-C,2026-04-22,2026-04-22,BTC-25DEC26-export.csv,BTC,25DEC26,220000,C,2026-12-25,247,78203,0.0013,0.0016,0.0019,0.0017,101.6639,125.12480000000001,148.5857,132.9451
BTC-25DEC26-240000-C,2026-04-22,2026-04-22,BTC-25DEC26-export.csv,BTC,25DEC26,240000,C,2026-12-25,247,78203,0.0008,0.001,0.0012,0.0011,62.562400000000004,78.203,93.8436,86.0233
BTC-25SEP26-82000-C,2026-04-22,2026-04-22,BTC-25SEP26-export.csv,BTC,25SEP26,82000,C,2026-09-25,156,78203,0.0925,0.0965,0.0975,0.097,7233.7775,7546.5895,7624.7925000000005,7585.691
BTC-25SEP26-92000-C,2026-04-22,2026-04-22,BTC-25SEP26-export.csv,BTC,25SEP26,92000,C,2026-09-25,156,78203,0.048,0.0535,0.0545,0.0541,3753.744,4183.8605,4262.0635,4230.7823
BTC-25SEP26-94000-C,2026-04-22,2026-04-22,BTC-25SEP26-export.csv,BTC,25SEP26,94000,C,2026-09-25,156,78203,0.042,0.0475,0.0485,0.0479,3284.5260000000003,3714.6425,3792.8455,3745.9237
BTC-25SEP26-95000-C,2026-04-22,2026-04-22,BTC-25SEP26-export.csv,BTC,25SEP26,95000,C,2026-09-25,156,78203,0.038,0.0445,0.0455,0.045,2971.714,3480.0335,3558.2365,3519.1349999999998
BTC-25SEP26-100000-C,2026-04-22,2026-04-22,BTC-25SEP26-export.csv,BTC,25SEP26,100000,C,2026-09-25,156,78203,0.0335,0.0325,0.0335,0.0329,2619.8005000000003,2541.5975000000003,2619.8005000000003,2572.8786999999998
BTC-25SEP26-130000-C,2026-04-22,2026-04-22,BTC-25SEP26-export.csv,BTC,25SEP26,130000,C,2026-09-25,156,78203,0.005,0.005,0.0055,0.0052,391.015,391.015,430.1165,406.6556
BTC-25SEP26-150000-C,2026-04-22,2026-04-22,BTC-25SEP26-export.csv,BTC,25SEP26,150000,C,2026-09-25,156,78203,0.0019,0.0018,0.002,0.0019,148.5857,140.7654,156.406,148.5857
BTC-25SEP26-155000-C,2026-04-22,2026-04-22,BTC-25SEP26-export.csv,BTC,25SEP26,155000,C,2026-09-25,156,78203,0.0012,0.0015,0.0017,0.0015,93.8436,117.3045,132.9451,117.3045
BTC-25SEP26-170000-C,2026-04-22,2026-04-22,BTC-25SEP26-export.csv,BTC,25SEP26,170000,C,2026-09-25,156,78203,0.0008,0.0008,0.0009,0.0009,62.562400000000004,62.562400000000004,70.3827,70.3827
BTC-25SEP26-200000-C,2026-04-22,2026-04-22,BTC-25SEP26-export.csv,BTC,25SEP26,200000,C,2026-09-25,156,78203,0.0003,0.0003,0.0006,0.0004,23.4609,23.4609,46.9218,31.281200000000002
BTC-25SEP26-240000-C,2026-04-22,2026-04-22,BTC-25SEP26-export.csv,BTC,25SEP26,240000,C,2026-09-25,156,78203,0.0004,0.0001,0.0005,0.0002,31.281200000000002,7.8203000000000005,39.1015,15.640600000000001
BTC-26APR26-79000-C,2026-04-22,2026-04-22,BTC-26APR26-export.csv,BTC,26APR26,79000,C,2026-04-26,4,78203,0.0155,0.013,0.0135,0.0134,1212.1465,1016.639,1055.7404999999999,1047.9202
BTC-26APR26-80000-C,2026-04-22,2026-04-22,BTC-26APR26-export.csv,BTC,26APR26,80000,C,2026-04-26,4,78203,0.011,0.0075,0.0085,0.0082,860.233,586.5224999999999,664.7255,641.2646000000001
BTC-26APR26-84000-C,2026-04-22,2026-04-22,BTC-26APR26-export.csv,BTC,26APR26,84000,C,2026-04-26,4,78203,0.001,0.0008,0.001,0.0009,78.203,62.562400000000004,78.203,70.3827
BTC-26APR26-87000-C,2026-04-22,2026-04-22,BTC-26APR26-export.csv,BTC,26APR26,87000,C,2026-04-26,4,78203,0.0001,0.0002,0.0003,0.0002,7.8203000000000005,15.640600000000001,23.4609,15.640600000000001
BTC-26JUN26-86000-C,2026-04-22,2026-04-22,BTC-26JUN26-export.csv,BTC,26JUN26,86000,C,2026-06-26,65,78203,0.0355,0.035,0.0355,0.0355,2776.2065,2737.1050000000005,2776.2065,2776.2065
BTC-26JUN26-130000-C,2026-04-22,2026-04-22,BTC-26JUN26-export.csv,BTC,26JUN26,130000,C,2026-06-26,65,78203,0.0005,0.0003,0.0005,0.0005,39.1015,23.4609,39.1015,39.1015
BTC-26JUN26-140000-C,2026-04-22,2026-04-22,BTC-26JUN26-export.csv,BTC,26JUN26,140000,C,2026-06-26,65,78203,0.0003,0.0002,0.0003,0.0003,23.4609,15.640600000000001,23.4609,23.4609
BTC-26JUN26-150000-C,2026-04-22,2026-04-22,BTC-26JUN26-export.csv,BTC,26JUN26,150000,C,2026-06-26,65,78203,0.0002,0.0001,0.0003,0.0002,15.640600000000001,7.8203000000000005,23.4609,15.640600000000001
BTC-26JUN26-155000-C,2026-04-22,2026-04-22,BTC-26JUN26-export.csv,BTC,26JUN26,155000,C,2026-06-26,65,78203,0.0002,0.0001,0.0002,0.0002,15.640600000000001,7.8203000000000005,15.640600000000001,15.640600000000001
BTC-26JUN26-160000-C,2026-04-22,2026-04-22,BTC-26JUN26-export.csv,BTC,26JUN26,160000,C,2026-06-26,65,78203,0.0002,0.0001,0.0003,0.0001,15.640600000000001,7.8203000000000005,23.4609,7.8203000000000005
BTC-26JUN26-165000-C,2026-04-22,2026-04-22,BTC-26JUN26-export.csv,BTC,26JUN26,165000,C,2026-06-26,65,78203,0.0002,0.0001,0.0003,0.0001,15.640600000000001,7.8203000000000005,23.4609,7.8203000000000005
BTC-26JUN26-170000-C,2026-04-22,2026-04-22,BTC-26JUN26-export.csv,BTC,26JUN26,170000,C,2026-06-26,65,78203,0.0002,0.0001,0.0002,0.0001,15.640600000000001,7.8203000000000005,15.640600000000001,7.8203000000000005
BTC-26JUN26-180000-C,2026-04-22,2026-04-22,BTC-26JUN26-export.csv,BTC,26JUN26,180000,C,2026-06-26,65,78203,0.0002,0.0001,0.0003,0.0001,15.640600000000001,7.8203000000000005,23.4609,7.8203000000000005
BTC-26JUN26-190000-C,2026-04-22,2026-04-22,BTC-26JUN26-export.csv,BTC,26JUN26,190000,C,2026-06-26,65,78203,0.0002,0.0001,0.0002,0.0001,15.640600000000001,7.8203000000000005,15.640600000000001,7.8203000000000005
BTC-26JUN26-200000-C,2026-04-22,2026-04-22,BTC-26JUN26-export.csv,BTC,26JUN26,200000,C,2026-06-26,65,78203,0.0002,0.0001,0.0003,0.0001,15.640600000000001,7.8203000000000005,23.4609,7.8203000000000005
BTC-26JUN26-210000-C,2026-04-22,2026-04-22,BTC-26JUN26-export.csv,BTC,26JUN26,210000,C,2026-06-26,65,78203,0.0002,0.0001,0.0003,0.0001,15.640600000000001,7.8203000000000005,23.4609,7.8203000000000005
BTC-26MAR27-84000-C,2026-04-22,2026-04-22,BTC-26MAR27-export.csv,BTC,26MAR27,84000,C,2027-03-26,338,78203,0.16,0.158,0.1605,0.1592,12512.48,12356.074,12551.5815,12449.9176
BTC-26MAR27-86000-C,2026-04-22,2026-04-22,BTC-26MAR27-export.csv,BTC,26MAR27,86000,C,2027-03-26,338,78203,0.136,0.149,0.1505,0.1496,10635.608,11652.247,11769.5515,11699.168800000001
BTC-26MAR27-88000-C,2026-04-22,2026-04-22,BTC-26MAR27-export.csv,BTC,26MAR27,88000,C,2027-03-26,338,78203,0.121,0.1395,0.141,0.1403,9462.563,10909.318500000001,11026.623,10971.8809
